"PRODUCTS_MODEL" "count"
"TMBP3424" 0
"TMBP3039" 0
"TMBP1739" 0
"TMBP2814" 0
"TMBP3635" 0
"TMBP1110" 0
"TMBP0536" 0
"TMBP3009" 0
"TMSS0601" 0
"TMS0337" 3
"TMS0635" 3
"TMS0734" 0
"TMS0910" 1
"TMS1819" 6
"TMS1821" 9
"TMS2839" 7
"TMS2840" 0
"TMS3440" 0
"TMS3439" 0
"TMD0910" 2
"TMD1819" 1
"TMD2839" 7
"TMD2840" 2
"TMD3440" 0
"TMD3710" 6
"TMK0515" 0
"TMK0910" 1
"TMK1821" 0
"TMK2839" 0
"TMK3007" 0
"TMK3434" 0
"TMK3439" 0
"TMM3937" 0
"TMBB0939" 1
"TMU3914" 2
"TMDCA10" 0
"TMU2121" 0
"TMMMC3437" 0
"TMMMC1428" 0
"TMMMC0937" 0
"TMD0114" 2
"TMD0622" 2
"TMMC1034" 0
"TMMC0128" 0
"TMTS" 2
"TMS3606" 4
"TMS3034" 2
"TMS1534" 2
"TMS1839" 2
"TMS0311" 0
"TMD3435" 12
"TMD1110" 2
"TMD3606" 4
"TMD0506" 5
"TMD1115" 2
"TMD0539" 2
"TMU3614" 0
"TMU3437" 2
"TMP0714" 0
"TMP343724" 0
"TMP3437" 5
"TMP3914" 0
"TMU0635" 2
"TMS11" 13
"TMS2114" 0
"TMS1036" 0
"TMS0710" 4
"TMS0624" 0
"TMS1439" 2
"TMS0740" 0
"TMS2234" 0
"TMS3009" 0
"TMS0234" 0
"TMD2114" 0
"TMD1036" 0
"TMD1407" 1
"TMD3414" 0
"TMD3511" 0
"TMD1105" 2
"TMD4011" 2
"TMD3009" 1
"TMD0737" 1
"TMD2234" 0
"TMD0234" 1
"TMD2237" 4
"TMD1117" 0
"TMK1140" 0
"TMK0614" 0
"TMK3435" 0
"TMK3014" 0
"TMK3537" 0
"TMK0234" 0
"TMK2237" 0
"TMBB2114" 0
"TMBB1036" 0
"TMBB0614" 0
"TMBB3537" 0
"TMBB2237" 0
"TMK2224" 2
"TMMC0837" 0
"TMMC3614" 0
"TMMC0702" 0
"TMCC0207" 0
"TMS3036" 0
"TMD0624" 2
"TMD0524" 4
"TMK1139" 2
"TMK0539" 2
"TMK3524" 1
"TMK0524" 2
"TMK0624" 2
"TMBP3109" 1
"TMK0939" 0
"TMPmixed" 0
"TMD3739" 2
"TMS2139" 0
"TMS0736" 0
"TMS1001" 0
"TMS3403" 0
"TMS3603" 0
"TMS3740" 7
"TMS0522" 0
"TMS2237" 6
"TMS0822" 2
"TMS0835" 0
"TMS3931" 3
"TMS15" 4
"TMU3514" 0
"TMU3021" 0
"TMU3436" 0
"TMU0314" 0
"TMU2114" 0
"TMU3403" 0
"TMU3603" 0
"TMU0101" 0
"TMU1506" 0
"TMU0736" 0
"TMU0710" 0
"TMU1436" 0
"TMU0637" 0
"TMU1515" 0
"TMU0707" 0
"TMS3514" 3
"TMS2810" 3
"TMD3403" 1
"TMD0736" 0
"TMD0710" 6
"TMD1421" 2
"TMD0522" 2
"TMK3921" 0
"TMK0635" 0
"TMK0710" 0
"TMK3607" 0
"TMK1421" 0
"TMK0334" 0
"TMK0736" 0
"TMK3403" 0
"TMK0522" 0
"TMHS40" 0
"TMHSM06" 0
"TMMMC1135" 0
